RBP	miRNA	sum_RBP_per_total	sum_miRNA_per_total	average
AIMP1	hsa-let-7a-1	0	0	0
AIMP1	hsa-let-7a-2	0	0	0
AIMP1	hsa-let-7a-3	0	0	0
AIMP1	hsa-let-7b	0	0	0
AIMP1	hsa-let-7c	0	0	0
AIMP1	hsa-let-7d	0	0	0
AIMP1	hsa-let-7e	0	0	0
AIMP1	hsa-let-7f-1	0	0	0
AIMP1	hsa-let-7f-2	0	0	0
AIMP1	hsa-let-7g	0	0	0
AIMP1	hsa-let-7i	17.2413793103448	1.8796992481203	9.56053927923256
AIMP1	hsa-mir-1-1	0	0	0
AIMP1	hsa-mir-1-2	0	0	0
AIMP1	hsa-mir-106a	0	0	0
AIMP1	hsa-mir-106b	0	0	0
AIMP1	hsa-mir-107	0	0	0
AIMP1	hsa-mir-10b	0	0	0
AIMP1	hsa-mir-122	0	0	0
AIMP1	hsa-mir-128-1	0	0	0
AIMP1	hsa-mir-128-2	0	0	0
AIMP1	hsa-mir-138-1	0	0	0
AIMP1	hsa-mir-138-2	0	0	0
AIMP1	hsa-mir-140	0	0	0
AIMP1	hsa-mir-141	0	0	0
AIMP1	hsa-mir-143	0	0	0
AIMP1	hsa-mir-145	0	0	0
AIMP1	hsa-mir-155	0	0	0
AIMP1	hsa-mir-15a	6.89655172413793	0.606060606060606	3.75130616509927
AIMP1	hsa-mir-15b	0	0	0
AIMP1	hsa-mir-16-1	0	0	0
AIMP1	hsa-mir-16-2	0	0	0
AIMP1	hsa-mir-17	0	0	0
AIMP1	hsa-mir-18a	0	0	0
AIMP1	hsa-mir-18b	0	0	0
AIMP1	hsa-mir-199a-1	0	0	0
AIMP1	hsa-mir-199a-2	0	0	0
AIMP1	hsa-mir-19a	0	0	0
AIMP1	hsa-mir-19b-1	0	0	0
AIMP1	hsa-mir-19b-2	27.5862068965517	2.17983651226158	14.8830217044067
AIMP1	hsa-mir-200a	0	0	0
AIMP1	hsa-mir-200b	0	0	0
AIMP1	hsa-mir-200c	0	0	0
AIMP1	hsa-mir-205	10.3448275862069	5	7.67241379310345
AIMP1	hsa-mir-206	0	0	0
AIMP1	hsa-mir-20a	0	0	0
AIMP1	hsa-mir-20b	13.7931034482759	2.58064516129032	8.18687430478309
AIMP1	hsa-mir-21	0	0	0
AIMP1	hsa-mir-214	0	0	0
