RBP	miRNA	sum_RBP_per_total	sum_miRNA_per_total	average
ADARB1	hsa-let-7a-1	19.5121951219512	2.12201591511936	10.8171055185353
ADARB1	hsa-let-7a-2	0	0	0
ADARB1	hsa-let-7a-3	14.6341463414634	1.09090909090909	7.86252771618625
ADARB1	hsa-let-7b	0	0	0
ADARB1	hsa-let-7c	0	0	0
ADARB1	hsa-let-7d	0	0	0
ADARB1	hsa-let-7e	0	0	0
ADARB1	hsa-let-7f-1	0	0	0
ADARB1	hsa-let-7f-2	7.31707317073171	0.675675675675676	3.99637442320369
ADARB1	hsa-let-7g	0	0	0
ADARB1	hsa-let-7i	0	0	0
ADARB1	hsa-mir-1-1	0	0	0
ADARB1	hsa-mir-1-2	0	0	0
ADARB1	hsa-mir-106a	0	0	0
ADARB1	hsa-mir-106b	0	0	0
ADARB1	hsa-mir-107	0	0	0
ADARB1	hsa-mir-10b	0	0	0
ADARB1	hsa-mir-122	0	0	0
ADARB1	hsa-mir-128-1	0	0	0
ADARB1	hsa-mir-128-2	0	0	0
ADARB1	hsa-mir-138-1	0	0	0
ADARB1	hsa-mir-138-2	0	0	0
ADARB1	hsa-mir-140	0	0	0
ADARB1	hsa-mir-141	24.390243902439	1.77304964539007	13.0816467739145
ADARB1	hsa-mir-143	0	0	0
ADARB1	hsa-mir-145	0	0	0
ADARB1	hsa-mir-155	19.5121951219512	1.64948453608247	10.5808398290168
ADARB1	hsa-mir-15a	0	0	0
ADARB1	hsa-mir-15b	0	0	0
ADARB1	hsa-mir-16-1	0	0	0
ADARB1	hsa-mir-16-2	0	0	0
ADARB1	hsa-mir-17	0	0	0
ADARB1	hsa-mir-18a	0	0	0
ADARB1	hsa-mir-18b	0	0	0
ADARB1	hsa-mir-199a-1	0	0	0
ADARB1	hsa-mir-199a-2	0	0	0
ADARB1	hsa-mir-19a	0	0	0
ADARB1	hsa-mir-19b-1	0	0	0
ADARB1	hsa-mir-19b-2	0	0	0
ADARB1	hsa-mir-200a	9.75609756097561	1.14942528735632	5.45276142416597
ADARB1	hsa-mir-200b	0	0	0
ADARB1	hsa-mir-200c	0	0	0
ADARB1	hsa-mir-205	0	0	0
ADARB1	hsa-mir-206	0	0	0
ADARB1	hsa-mir-20a	0	0	0
ADARB1	hsa-mir-20b	0	0	0
ADARB1	hsa-mir-21	0	0	0
ADARB1	hsa-mir-214	0	0	0
ADARB1	hsa-mir-221	0	0	0
ADARB1	hsa-mir-222	0	0	0
ADARB1	hsa-mir-25	0	0	0
ADARB1	hsa-mir-29a	0	0	0
ADARB1	hsa-mir-29b-1	0	0	0
ADARB1	hsa-mir-29b-2	0	0	0
ADARB1	hsa-mir-29c	0	0	0
ADARB1	hsa-mir-31	0	0	0
ADARB1	hsa-mir-34a	0	0	0
ADARB1	hsa-mir-34b	0	0	0
ADARB1	hsa-mir-34c	0	0	0
ADARB1	hsa-mir-363	0	0	0
ADARB1	hsa-mir-429	0	0	0
ADARB1	hsa-mir-451	0	0	0
ADARB1	hsa-mir-7-1	0	0	0
ADARB1	hsa-mir-7-2	0	0	0
ADARB1	hsa-mir-7-3	0	0	0
ADARB1	hsa-mir-9-1	0	0	0
ADARB1	hsa-mir-9-2	0	0	0
ADARB1	hsa-mir-9-3	0	0	0
ADARB1	hsa-mir-92a-1	0	0	0
ADARB1	hsa-mir-92a-2	0	0	0
ADARB1	hsa-mir-93	0	0	0
ADARB1	hsa-mir-98	4.8780487804878	0.198216055500496	2.53813241799415
AIMP1	hsa-let-7a-1	0	0	0
AIMP1	hsa-let-7a-2	0	0	0
AIMP1	hsa-let-7a-3	0	0	0
AIMP1	hsa-let-7b	0	0	0
AIMP1	hsa-let-7c	0	0	0
AIMP1	hsa-let-7d	0	0	0
AIMP1	hsa-let-7e	0	0	0
AIMP1	hsa-let-7f-1	0	0	0
AIMP1	hsa-let-7f-2	0	0	0
AIMP1	hsa-let-7g	0	0	0
AIMP1	hsa-let-7i	0	0	0
AIMP1	hsa-mir-1-1	0	0	0
AIMP1	hsa-mir-1-2	0	0	0
AIMP1	hsa-mir-106a	0	0	0
AIMP1	hsa-mir-106b	0	0	0
AIMP1	hsa-mir-107	0	0	0
AIMP1	hsa-mir-10b	0	0	0
AIMP1	hsa-mir-122	0	0	0
AIMP1	hsa-mir-128-1	0	0	0
AIMP1	hsa-mir-128-2	0	0	0
AIMP1	hsa-mir-138-1	0	0	0
AIMP1	hsa-mir-138-2	0	0	0
AIMP1	hsa-mir-140	0	0	0
AIMP1	hsa-mir-141	0	0	0
AIMP1	hsa-mir-143	0	0	0
AIMP1	hsa-mir-145	0	0	0
AIMP1	hsa-mir-155	0	0	0
AIMP1	hsa-mir-15a	0	0	0
AIMP1	hsa-mir-15b	0	0	0
AIMP1	hsa-mir-16-1	0	0	0
AIMP1	hsa-mir-16-2	0	0	0
AIMP1	hsa-mir-17	0	0	0
AIMP1	hsa-mir-18a	0	0	0
AIMP1	hsa-mir-18b	0	0	0
AIMP1	hsa-mir-199a-1	0	0	0
AIMP1	hsa-mir-199a-2	0	0	0
AIMP1	hsa-mir-19a	0	0	0
AIMP1	hsa-mir-19b-1	0	0	0
AIMP1	hsa-mir-19b-2	0	0	0
AIMP1	hsa-mir-200a	0	0	0
AIMP1	hsa-mir-200b	0	0	0
