RBP	miRNA	sum_RBP_per_total	sum_miRNA_per_total	average
ADARB1	hsa-let-7a-1	9.20502092050209	3.18379160636758	6.19440626343484
ADARB1	hsa-let-7a-2	0	0	0
ADARB1	hsa-let-7a-3	5.02092050209205	1.09389243391067	3.05740646800136
ADARB1	hsa-let-7b	0	0	0
ADARB1	hsa-let-7c	2.09205020920502	0.803858520900322	1.44795436505267
ADARB1	hsa-let-7d	0	0	0
ADARB1	hsa-let-7e	0	0	0
ADARB1	hsa-let-7f-1	2.09205020920502	0.826446280991736	1.45924824509838
ADARB1	hsa-let-7f-2	3.34728033472803	1.41592920353982	2.38160476913393
ADARB1	hsa-let-7g	0	0	0
ADARB1	hsa-let-7i	0	0	0
ADARB1	hsa-mir-1-1	2.51046025104602	0.910470409711684	1.71046533037885
ADARB1	hsa-mir-1-2	0	0	0
ADARB1	hsa-mir-106a	1.67364016736402	0.670016750418761	1.17182845889139
ADARB1	hsa-mir-106b	0	0	0
ADARB1	hsa-mir-107	0	0	0
ADARB1	hsa-mir-10b	0	0	0
ADARB1	hsa-mir-122	0	0	0
ADARB1	hsa-mir-128-1	0	0	0
ADARB1	hsa-mir-128-2	0	0	0
ADARB1	hsa-mir-138-1	7.11297071129707	3.35305719921105	5.23301395525406
ADARB1	hsa-mir-138-2	0	0	0
ADARB1	hsa-mir-140	1.25523012552301	0.66079295154185	0.958011538532431
ADARB1	hsa-mir-141	7.53138075313808	2.42261103633917	4.97699589473862
ADARB1	hsa-mir-143	0.836820083682008	0.359712230215827	0.598266156948918
ADARB1	hsa-mir-145	10.4602510460251	4.17362270450751	7.31693687526631
ADARB1	hsa-mir-155	4.60251046025105	1.45888594164456	3.0306982009478
ADARB1	hsa-mir-15a	0	0	0
ADARB1	hsa-mir-15b	0	0	0
ADARB1	hsa-mir-16-1	0	0	0
ADARB1	hsa-mir-16-2	1.25523012552301	0.755667506297229	1.00544881591012
ADARB1	hsa-mir-17	0	0	0
ADARB1	hsa-mir-18a	0	0	0
ADARB1	hsa-mir-18b	0	0	0
ADARB1	hsa-mir-199a-1	0	0	0
ADARB1	hsa-mir-199a-2	2.51046025104602	1.23456790123457	1.8725140761403
ADARB1	hsa-mir-19a	0	0	0
ADARB1	hsa-mir-19b-1	0	0	0
ADARB1	hsa-mir-19b-2	0	0	0
ADARB1	hsa-mir-200a	2.51046025104602	1.13207547169811	1.82126786137207
ADARB1	hsa-mir-200b	2.51046025104602	0.940438871473354	1.72544956125969
ADARB1	hsa-mir-200c	0	0	0
ADARB1	hsa-mir-205	0	0	0
ADARB1	hsa-mir-206	0.836820083682008	0.306748466257669	0.571784274969839
ADARB1	hsa-mir-20a	0	0	0
ADARB1	hsa-mir-20b	0	0	0
ADARB1	hsa-mir-21	0	0	0
ADARB1	hsa-mir-214	0	0	0
ADARB1	hsa-mir-221	2.09205020920502	0.69060773480663	1.39132897200583
ADARB1	hsa-mir-222	0	0	0
ADARB1	hsa-mir-25	0	0	0
ADARB1	hsa-mir-29a	0	0	0
ADARB1	hsa-mir-29b-1	0	0	0
ADARB1	hsa-mir-29b-2	4.18410041841004	1.29198966408269	2.73804504124636
ADARB1	hsa-mir-29c	2.92887029288703	1.32325141776938	2.1260608553282
ADARB1	hsa-mir-31	1.25523012552301	0.817438692098093	1.03633440881055
ADARB1	hsa-mir-34a	1.67364016736402	0.654664484451719	1.16415232590787
ADARB1	hsa-mir-34b	1.25523012552301	0.315126050420168	0.78517808797159
ADARB1	hsa-mir-34c	0	0	0
ADARB1	hsa-mir-363	1.25523012552301	0.636942675159236	0.946086400341124
ADARB1	hsa-mir-429	0	0	0
ADARB1	hsa-mir-451	0	0	0
ADARB1	hsa-mir-7-1	0	0	0
ADARB1	hsa-mir-7-2	1.25523012552301	0.350877192982456	0.803053659252734
ADARB1	hsa-mir-7-3	2.09205020920502	1.11856823266219	1.60530922093361
ADARB1	hsa-mir-9-1	4.60251046025105	2.21327967806841	3.40789506915973
ADARB1	hsa-mir-9-2	0	0	0
ADARB1	hsa-mir-9-3	6.69456066945607	5.0314465408805	5.86300360516829
ADARB1	hsa-mir-92a-1	0.836820083682008	0.512820512820513	0.674820298251261
ADARB1	hsa-mir-92a-2	0.836820083682008	0.344234079173838	0.590527081427923
ADARB1	hsa-mir-93	0	0	0
ADARB1	hsa-mir-98	1.67364016736402	0.459242250287026	1.06644120882552
AIMP1	hsa-let-7a-1	1.99004975124378	0.578871201157742	1.28446047620076
AIMP1	hsa-let-7a-2	0.995024875621891	0.301204819277108	0.6481148474495
AIMP1	hsa-let-7a-3	10.4477611940298	1.91431175934366	6.18103647668676
AIMP1	hsa-let-7b	2.48756218905473	0.744047619047619	1.61580490405117
AIMP1	hsa-let-7c	0.995024875621891	0.321543408360129	0.65828414199101
AIMP1	hsa-let-7d	0.995024875621891	0.233644859813084	0.614334867717487
AIMP1	hsa-let-7e	1.49253731343284	0.531914893617021	1.01222610352493
AIMP1	hsa-let-7f-1	0.995024875621891	0.330578512396694	0.662801694009292
AIMP1	hsa-let-7f-2	1.99004975124378	0.707964601769911	1.34900717650685
AIMP1	hsa-let-7g	0	0	0
AIMP1	hsa-let-7i	0	0	0
AIMP1	hsa-mir-1-1	0	0	0
AIMP1	hsa-mir-1-2	0	0	0
AIMP1	hsa-mir-106a	0	0	0
AIMP1	hsa-mir-106b	1.49253731343284	0.350467289719626	0.921502301576231
AIMP1	hsa-mir-107	4.47761194029851	1.11801242236025	2.79781218132938
AIMP1	hsa-mir-10b	0	0	0
AIMP1	hsa-mir-122	0.995024875621891	0.4	0.697512437810945
AIMP1	hsa-mir-128-1	3.48258706467662	1.12359550561798	2.3030912851473
AIMP1	hsa-mir-128-2	1.49253731343284	0.30241935483871	0.897478334135773
AIMP1	hsa-mir-138-1	0	0	0
AIMP1	hsa-mir-138-2	1.49253731343284	0.390625	0.941581156716418
AIMP1	hsa-mir-140	0.995024875621891	0.440528634361234	0.717776754991562
AIMP1	hsa-mir-141	0	0	0
AIMP1	hsa-mir-143	0	0	0
AIMP1	hsa-mir-145	0	0	0
AIMP1	hsa-mir-155	0	0	0
AIMP1	hsa-mir-15a	2.48756218905473	1.14678899082569	1.81717558994021
AIMP1	hsa-mir-15b	1.49253731343284	0.535714285714286	1.01412579957356
AIMP1	hsa-mir-16-1	0	0	0
AIMP1	hsa-mir-16-2	0	0	0
AIMP1	hsa-mir-17	0.995024875621891	0.400801603206413	0.697913239414152
AIMP1	hsa-mir-18a	0	0	0
AIMP1	hsa-mir-18b	0	0	0
AIMP1	hsa-mir-199a-1	0	0	0
AIMP1	hsa-mir-199a-2	0.995024875621891	0.411522633744856	0.703273754683373
AIMP1	hsa-mir-19a	0	0	0
AIMP1	hsa-mir-19b-1	0	0	0
AIMP1	hsa-mir-19b-2	9.95024875621891	2.5062656641604	6.22825721018965
AIMP1	hsa-mir-200a	0	0	0
AIMP1	hsa-mir-200b	0	0	0
AIMP1	hsa-mir-200c	0	0	0
AIMP1	hsa-mir-205	9.95024875621891	1.92492781520693	5.93758828571292
AIMP1	hsa-mir-206	1.49253731343284	0.460122699386503	0.976330006409669
AIMP1	hsa-mir-20a	0	0	0
AIMP1	hsa-mir-20b	4.47761194029851	1.34529147982063	2.91145171005957
AIMP1	hsa-mir-21	0	0	0
AIMP1	hsa-mir-214	1.99004975124378	0.548696844993141	1.26937329811846
AIMP1	hsa-mir-221	0	0	0
AIMP1	hsa-mir-222	0.995024875621891	0.543478260869565	0.769251568245728
AIMP1	hsa-mir-25	1.49253731343284	0.566037735849057	1.02928752464095
AIMP1	hsa-mir-29a	0	0	0
AIMP1	hsa-mir-29b-1	0	0	0
AIMP1	hsa-mir-29b-2	0	0	0
AIMP1	hsa-mir-29c	0.995024875621891	0.378071833648393	0.686548354635142
AIMP1	hsa-mir-31	0	0	0
AIMP1	hsa-mir-34a	0	0	0
AIMP1	hsa-mir-34b	4.47761194029851	0.945378151260504	2.71149504577951
AIMP1	hsa-mir-34c	2.48756218905473	0.912408759124087	1.69998547408941
AIMP1	hsa-mir-363	0	0	0
AIMP1	hsa-mir-429	0	0	0
AIMP1	hsa-mir-451	0.995024875621891	0.451467268623025	0.723246072122458
AIMP1	hsa-mir-7-1	12.9353233830846	1.81818181818182	7.3767526006332
AIMP1	hsa-mir-7-2	3.98009950248756	0.935672514619883	2.45788600855372
AIMP1	hsa-mir-7-3	0.995024875621891	0.447427293064877	0.721226084343384
AIMP1	hsa-mir-9-1	0	0	0
AIMP1	hsa-mir-9-2	0	0	0
AIMP1	hsa-mir-9-3	0	0	0
AIMP1	hsa-mir-92a-1	0	0	0
AIMP1	hsa-mir-92a-2	0	0	0
AIMP1	hsa-mir-93	0	0	0
AIMP1	hsa-mir-98	0	0	0
AIMP2	hsa-let-7a-1	1.32450331125828	0.289435600578871	0.806969455918575
AIMP2	hsa-let-7a-2	1.32450331125828	0.301204819277108	0.812854065267693
AIMP2	hsa-let-7a-3	13.9072847682119	1.91431175934366	7.91079826377779
AIMP2	hsa-let-7b	3.97350993377483	0.892857142857143	2.43318353831599
AIMP2	hsa-let-7c	1.32450331125828	0.321543408360129	0.823023359809203
AIMP2	hsa-let-7d	0	0	0
AIMP2	hsa-let-7e	2.64900662251656	0.709219858156028	1.67911324033629
AIMP2	hsa-let-7f-1	1.32450331125828	0.330578512396694	0.827540911827486
AIMP2	hsa-let-7f-2	1.98675496688742	0.530973451327434	1.25886420910743
AIMP2	hsa-let-7g	0	0	0
AIMP2	hsa-let-7i	0	0	0
AIMP2	hsa-mir-1-1	0	0	0
AIMP2	hsa-mir-1-2	0	0	0
AIMP2	hsa-mir-106a	1.98675496688742	0.50251256281407	1.24463376485074
AIMP2	hsa-mir-106b	0	0	0
AIMP2	hsa-mir-107	3.97350993377483	0.745341614906832	2.35942577434083
AIMP2	hsa-mir-10b	0	0	0
AIMP2	hsa-mir-122	1.98675496688742	0.6	1.29337748344371
AIMP2	hsa-mir-128-1	1.32450331125828	0.321027287319422	0.82276529928885
AIMP2	hsa-mir-128-2	1.98675496688742	0.30241935483871	1.14458716086306
AIMP2	hsa-mir-138-1	0	0	0
AIMP2	hsa-mir-138-2	0	0	0
AIMP2	hsa-mir-140	0	0	0
AIMP2	hsa-mir-141	0	0	0
AIMP2	hsa-mir-143	0	0	0
AIMP2	hsa-mir-145	0	0	0
AIMP2	hsa-mir-155	0	0	0
AIMP2	hsa-mir-15a	2.64900662251656	0.917431192660551	1.78321890758855
AIMP2	hsa-mir-15b	0	0	0
AIMP2	hsa-mir-16-1	0	0	0
AIMP2	hsa-mir-16-2	0	0	0
AIMP2	hsa-mir-17	0	0	0
AIMP2	hsa-mir-18a	1.32450331125828	0.470588235294118	0.897545773276198
AIMP2	hsa-mir-18b	0	0	0
AIMP2	hsa-mir-199a-1	0	0	0
AIMP2	hsa-mir-199a-2	0	0	0
AIMP2	hsa-mir-19a	1.32450331125828	0.247524752475248	0.786014031866763
AIMP2	hsa-mir-19b-1	0	0	0
AIMP2	hsa-mir-19b-2	12.5827814569536	2.38095238095238	7.48186691895301
AIMP2	hsa-mir-200a	0	0	0
AIMP2	hsa-mir-200b	0	0	0
AIMP2	hsa-mir-200c	1.98675496688742	0.415512465373961	1.20113371613069
AIMP2	hsa-mir-205	4.63576158940397	0.673724735322425	2.6547431623632
AIMP2	hsa-mir-206	0	0	0
AIMP2	hsa-mir-20a	1.32450331125828	0.531914893617021	0.92820910243765
AIMP2	hsa-mir-20b	3.97350993377483	0.896860986547085	2.43518546016096
AIMP2	hsa-mir-21	1.98675496688742	0.623700623700624	1.30522779529402
AIMP2	hsa-mir-214	1.32450331125828	0.274348422496571	0.799425866877424
AIMP2	hsa-mir-221	1.98675496688742	0.414364640883978	1.2005598038857
AIMP2	hsa-mir-222	1.98675496688742	0.815217391304348	1.40098617909588
AIMP2	hsa-mir-25	1.32450331125828	0.377358490566038	0.850930900912158
AIMP2	hsa-mir-29a	1.32450331125828	0.415800415800416	0.870151863529347
AIMP2	hsa-mir-29b-1	0	0	0
AIMP2	hsa-mir-29b-2	0	0	0
AIMP2	hsa-mir-29c	0	0	0
AIMP2	hsa-mir-31	0	0	0
AIMP2	hsa-mir-34a	1.32450331125828	0.327332242225859	0.825917776742069
AIMP2	hsa-mir-34b	4.63576158940397	0.735294117647059	2.68552785352552
AIMP2	hsa-mir-34c	1.98675496688742	0.547445255474453	1.26710011118094
AIMP2	hsa-mir-363	0	0	0
AIMP2	hsa-mir-429	0	0	0
