RBP	miRNA	sum_RBP_per_total	sum_miRNA_per_total	average
ADARB1	hsa-let-7a-1	15.6862745098039	2.35294117647059	9.01960784313725
ADARB1	hsa-let-7a-2	0	0	0
ADARB1	hsa-let-7a-3	9.80392156862745	0.950570342205323	5.37724595541639
ADARB1	hsa-let-7b	0	0	0
ADARB1	hsa-let-7c	0	0	0
ADARB1	hsa-let-7d	0	0	0
ADARB1	hsa-let-7e	0	0	0
ADARB1	hsa-let-7f-1	0	0	0
ADARB1	hsa-let-7f-2	15.6862745098039	2.24089635854342	8.96358543417367
ADARB1	hsa-let-7g	3.92156862745098	0.276243093922652	2.09890586068682
ADARB1	hsa-let-7i	0	0	0
ADARB1	hsa-mir-1-1	0	0	0
ADARB1	hsa-mir-1-2	0	0	0
ADARB1	hsa-mir-106a	5.88235294117647	2.23880597014925	4.06057945566286
ADARB1	hsa-mir-106b	0	0	0
ADARB1	hsa-mir-107	0	0	0
ADARB1	hsa-mir-10b	0	0	0
ADARB1	hsa-mir-122	0	0	0
ADARB1	hsa-mir-128-1	0	0	0
ADARB1	hsa-mir-128-2	0	0	0
ADARB1	hsa-mir-138-1	0	0	0
ADARB1	hsa-mir-138-2	0	0	0
ADARB1	hsa-mir-140	0	0	0
ADARB1	hsa-mir-141	0	0	0
ADARB1	hsa-mir-143	0	0	0
ADARB1	hsa-mir-145	5.88235294117647	2	3.94117647058824
ADARB1	hsa-mir-155	13.7254901960784	3.66492146596859	8.69520583102351
ADARB1	hsa-mir-15a	0	0	0
ADARB1	hsa-mir-15b	0	0	0
ADARB1	hsa-mir-16-1	0	0	0
ADARB1	hsa-mir-16-2	0	0	0
ADARB1	hsa-mir-17	0	0	0
ADARB1	hsa-mir-18a	0	0	0
ADARB1	hsa-mir-18b	0	0	0
ADARB1	hsa-mir-199a-1	0	0	0
ADARB1	hsa-mir-199a-2	0	0	0
ADARB1	hsa-mir-19a	0	0	0
ADARB1	hsa-mir-19b-1	0	0	0
ADARB1	hsa-mir-19b-2	0	0	0
ADARB1	hsa-mir-200a	5.88235294117647	3.94736842105263	4.91486068111455
ADARB1	hsa-mir-200b	0	0	0
ADARB1	hsa-mir-200c	0	0	0
ADARB1	hsa-mir-205	0	0	0
ADARB1	hsa-mir-206	0	0	0
ADARB1	hsa-mir-20a	0	0	0
ADARB1	hsa-mir-20b	0	0	0
ADARB1	hsa-mir-21	0	0	0
ADARB1	hsa-mir-214	0	0	0
ADARB1	hsa-mir-221	0	0	0
ADARB1	hsa-mir-222	0	0	0
ADARB1	hsa-mir-25	0	0	0
ADARB1	hsa-mir-29a	0	0	0
ADARB1	hsa-mir-29b-1	0	0	0
ADARB1	hsa-mir-29b-2	0	0	0
ADARB1	hsa-mir-29c	3.92156862745098	1	2.46078431372549
ADARB1	hsa-mir-31	0	0	0
ADARB1	hsa-mir-34a	0	0	0
ADARB1	hsa-mir-34b	0	0	0
ADARB1	hsa-mir-34c	0	0	0
ADARB1	hsa-mir-363	0	0	0
ADARB1	hsa-mir-429	0	0	0
ADARB1	hsa-mir-451	0	0	0
ADARB1	hsa-mir-7-1	0	0	0
ADARB1	hsa-mir-7-2	0	0	0
ADARB1	hsa-mir-7-3	0	0	0
ADARB1	hsa-mir-9-1	0	0	0
ADARB1	hsa-mir-9-2	0	0	0
ADARB1	hsa-mir-9-3	11.7647058823529	5.30973451327434	8.53722019781364
ADARB1	hsa-mir-92a-1	0	0	0
ADARB1	hsa-mir-92a-2	0	0	0
ADARB1	hsa-mir-93	0	0	0
ADARB1	hsa-mir-98	7.84313725490196	0.666666666666667	4.25490196078431
AQR	hsa-let-7a-1	0	0	0
AQR	hsa-let-7a-2	0	0	0
AQR	hsa-let-7a-3	0	0	0
AQR	hsa-let-7b	0	0	0
AQR	hsa-let-7c	0	0	0
AQR	hsa-let-7d	0	0	0
AQR	hsa-let-7e	19.047619047619	2.08333333333333	10.5654761904762
AQR	hsa-let-7f-1	0	0	0
AQR	hsa-let-7f-2	0	0	0
AQR	hsa-let-7g	52.3809523809524	1.51933701657459	26.9501446987635
AQR	hsa-let-7i	9.52380952380952	0.709219858156028	5.11651469098278
AQR	hsa-mir-1-1	0	0	0
AQR	hsa-mir-1-2	0	0	0
AQR	hsa-mir-106a	0	0	0
AQR	hsa-mir-106b	0	0	0
AQR	hsa-mir-107	0	0	0
AQR	hsa-mir-10b	0	0	0
AQR	hsa-mir-122	0	0	0
AQR	hsa-mir-128-1	0	0	0
AQR	hsa-mir-128-2	0	0	0
AQR	hsa-mir-138-1	0	0	0
AQR	hsa-mir-138-2	0	0	0
AQR	hsa-mir-140	0	0	0
AQR	hsa-mir-141	0	0	0
AQR	hsa-mir-143	0	0	0
AQR	hsa-mir-145	0	0	0
AQR	hsa-mir-155	0	0	0
AQR	hsa-mir-15a	0	0	0
AQR	hsa-mir-15b	0	0	0
AQR	hsa-mir-16-1	0	0	0
AQR	hsa-mir-16-2	0	0	0
AQR	hsa-mir-17	0	0	0
AQR	hsa-mir-18a	0	0	0
AQR	hsa-mir-18b	0	0	0
AQR	hsa-mir-199a-1	0	0	0
AQR	hsa-mir-199a-2	0	0	0
AQR	hsa-mir-19a	0	0	0
AQR	hsa-mir-19b-1	9.52380952380952	1.63934426229508	5.5815768930523
AQR	hsa-mir-19b-2	0	0	0
AQR	hsa-mir-200a	0	0	0
AQR	hsa-mir-200b	0	0	0
AQR	hsa-mir-200c	0	0	0
AQR	hsa-mir-205	0	0	0
AQR	hsa-mir-206	0	0	0
AQR	hsa-mir-20a	0	0	0
AQR	hsa-mir-20b	0	0	0
AQR	hsa-mir-21	0	0	0
AQR	hsa-mir-214	0	0	0
AQR	hsa-mir-221	0	0	0
AQR	hsa-mir-222	0	0	0
AQR	hsa-mir-25	0	0	0
AQR	hsa-mir-29a	0	0	0
AQR	hsa-mir-29b-1	0	0	0
AQR	hsa-mir-29b-2	0	0	0
AQR	hsa-mir-29c	0	0	0
AQR	hsa-mir-31	0	0	0
AQR	hsa-mir-34a	0	0	0
AQR	hsa-mir-34b	9.52380952380952	0.428265524625268	4.9760375242174
AQR	hsa-mir-34c	0	0	0
AQR	hsa-mir-363	0	0	0
AQR	hsa-mir-429	0	0	0
AQR	hsa-mir-451	0	0	0
AQR	hsa-mir-7-1	0	0	0
AQR	hsa-mir-7-2	0	0	0
AQR	hsa-mir-7-3	0	0	0
AQR	hsa-mir-9-1	0	0	0
AQR	hsa-mir-9-2	0	0	0
AQR	hsa-mir-9-3	0	0	0
AQR	hsa-mir-92a-1	0	0	0
AQR	hsa-mir-92a-2	0	0	0
AQR	hsa-mir-93	0	0	0
AQR	hsa-mir-98	0	0	0
ATXN2L	hsa-let-7a-1	0	0	0
ATXN2L	hsa-let-7a-2	0	0	0
ATXN2L	hsa-let-7a-3	0	0	0
ATXN2L	hsa-let-7b	0	0	0
ATXN2L	hsa-let-7c	0	0	0
ATXN2L	hsa-let-7d	0	0	0
ATXN2L	hsa-let-7e	0	0	0
ATXN2L	hsa-let-7f-1	0	0	0
ATXN2L	hsa-let-7f-2	0	0	0
ATXN2L	hsa-let-7g	0	0	0
ATXN2L	hsa-let-7i	0	0	0
ATXN2L	hsa-mir-1-1	0	0	0
ATXN2L	hsa-mir-1-2	0	0	0
ATXN2L	hsa-mir-106a	0	0	0
ATXN2L	hsa-mir-106b	0	0	0
ATXN2L	hsa-mir-107	0	0	0
ATXN2L	hsa-mir-10b	0	0	0
ATXN2L	hsa-mir-122	0	0	0
ATXN2L	hsa-mir-128-1	0	0	0
ATXN2L	hsa-mir-128-2	0	0	0
ATXN2L	hsa-mir-138-1	0	0	0
ATXN2L	hsa-mir-138-2	0	0	0
ATXN2L	hsa-mir-140	0	0	0
ATXN2L	hsa-mir-141	0	0	0
ATXN2L	hsa-mir-143	0	0	0
ATXN2L	hsa-mir-145	0	0	0
ATXN2L	hsa-mir-155	0	0	0
ATXN2L	hsa-mir-15a	0	0	0
ATXN2L	hsa-mir-15b	0	0	0
ATXN2L	hsa-mir-16-1	0	0	0
ATXN2L	hsa-mir-16-2	0	0	0
ATXN2L	hsa-mir-17	0	0	0
ATXN2L	hsa-mir-18a	0	0	0
ATXN2L	hsa-mir-18b	0	0	0
ATXN2L	hsa-mir-199a-1	0	0	0
ATXN2L	hsa-mir-199a-2	0	0	0
ATXN2L	hsa-mir-19a	0	0	0
ATXN2L	hsa-mir-19b-1	0	0	0
ATXN2L	hsa-mir-19b-2	0	0	0
ATXN2L	hsa-mir-200a	0	0	0
ATXN2L	hsa-mir-200b	0	0	0
ATXN2L	hsa-mir-200c	0	0	0
ATXN2L	hsa-mir-205	0	0	0
ATXN2L	hsa-mir-206	0	0	0
ATXN2L	hsa-mir-20a	0	0	0
ATXN2L	hsa-mir-20b	0	0	0
ATXN2L	hsa-mir-21	0	0	0
ATXN2L	hsa-mir-214	0	0	0
ATXN2L	hsa-mir-221	0	0	0
ATXN2L	hsa-mir-222	0	0	0
ATXN2L	hsa-mir-25	0	0	0
ATXN2L	hsa-mir-29a	0	0	0
ATXN2L	hsa-mir-29b-1	0	0	0
ATXN2L	hsa-mir-29b-2	0	0	0
ATXN2L	hsa-mir-29c	0	0	0
ATXN2L	hsa-mir-31	0	0	0
ATXN2L	hsa-mir-34a	0	0	0
ATXN2L	hsa-mir-34b	0	0	0
ATXN2L	hsa-mir-34c	0	0	0
ATXN2L	hsa-mir-363	0	0	0
ATXN2L	hsa-mir-429	0	0	0
ATXN2L	hsa-mir-451	0	0	0
ATXN2L	hsa-mir-7-1	100	2.34375	51.171875
ATXN2L	hsa-mir-7-2	0	0	0
ATXN2L	hsa-mir-7-3	0	0	0
ATXN2L	hsa-mir-9-1	0	0	0
