RBP	miRNA	sum_RBP_per_total	sum_miRNA_per_total	average
ADARB1	hsa-let-7a-1	15.3225806451613	2.2673031026253	8.79494187389329
ADARB1	hsa-let-7a-2	0	0	0
ADARB1	hsa-let-7a-3	2.41935483870968	0.221565731166913	1.3204602849383
ADARB1	hsa-let-7b	0	0	0
ADARB1	hsa-let-7c	0	0	0
ADARB1	hsa-let-7d	0	0	0
ADARB1	hsa-let-7e	0	0	0
ADARB1	hsa-let-7f-1	5.64516129032258	0.938337801608579	3.29174954596558
ADARB1	hsa-let-7f-2	12.9032258064516	1.9559902200489	7.42960801325026
ADARB1	hsa-let-7g	0	0	0
ADARB1	hsa-let-7i	0	0	0
ADARB1	hsa-mir-1-1	0	0	0
ADARB1	hsa-mir-1-2	1.61290322580645	2.1978021978022	1.90535271180432
ADARB1	hsa-mir-106a	3.2258064516129	1.70212765957447	2.46396705559369
ADARB1	hsa-mir-106b	0	0	0
ADARB1	hsa-mir-107	0	0	0
ADARB1	hsa-mir-10b	0	0	0
ADARB1	hsa-mir-122	0	0	0
ADARB1	hsa-mir-128-1	0	0	0
ADARB1	hsa-mir-128-2	0	0	0
ADARB1	hsa-mir-138-1	4.83870967741935	2.92682926829268	3.88276947285602
ADARB1	hsa-mir-138-2	0	0	0
ADARB1	hsa-mir-140	0	0	0
ADARB1	hsa-mir-141	4.03225806451613	1.68918918918919	2.86072362685266
ADARB1	hsa-mir-143	1.61290322580645	0.680272108843537	1.14658766732499
ADARB1	hsa-mir-145	7.25806451612903	3.76569037656904	5.51187744634904
ADARB1	hsa-mir-155	8.87096774193548	3.85964912280702	6.36530843237125
ADARB1	hsa-mir-15a	0	0	0
ADARB1	hsa-mir-15b	0	0	0
ADARB1	hsa-mir-16-1	0	0	0
ADARB1	hsa-mir-16-2	0	0	0
ADARB1	hsa-mir-17	0	0	0
ADARB1	hsa-mir-18a	0	0	0
ADARB1	hsa-mir-18b	0	0	0
ADARB1	hsa-mir-199a-1	0	0	0
ADARB1	hsa-mir-199a-2	1.61290322580645	0.763358778625954	1.1881310022162
ADARB1	hsa-mir-19a	0	0	0
ADARB1	hsa-mir-19b-1	0	0	0
ADARB1	hsa-mir-19b-2	2.41935483870968	1.14942528735632	1.784390063033
ADARB1	hsa-mir-200a	4.03225806451613	2.45098039215686	3.2416192283365
ADARB1	hsa-mir-200b	1.61290322580645	0.829875518672199	1.22138937223933
ADARB1	hsa-mir-200c	0	0	0
ADARB1	hsa-mir-205	0	0	0
ADARB1	hsa-mir-206	0	0	0
ADARB1	hsa-mir-20a	0	0	0
ADARB1	hsa-mir-20b	0	0	0
ADARB1	hsa-mir-21	0	0	0
ADARB1	hsa-mir-214	0	0	0
ADARB1	hsa-mir-221	0	0	0
ADARB1	hsa-mir-222	1.61290322580645	0.766283524904214	1.18959337535533
ADARB1	hsa-mir-25	0	0	0
ADARB1	hsa-mir-29a	0	0	0
ADARB1	hsa-mir-29b-1	0	0	0
ADARB1	hsa-mir-29b-2	2.41935483870968	0.949367088607595	1.68436096365864
ADARB1	hsa-mir-29c	2.41935483870968	0.726392251815981	1.57287354526283
ADARB1	hsa-mir-31	0	0	0
ADARB1	hsa-mir-34a	2.41935483870968	0.552486187845304	1.48592051327749
ADARB1	hsa-mir-34b	0	0	0
ADARB1	hsa-mir-34c	0	0	0
ADARB1	hsa-mir-363	0	0	0
ADARB1	hsa-mir-429	0	0	0
ADARB1	hsa-mir-451	0	0	0
ADARB1	hsa-mir-7-1	0	0	0
ADARB1	hsa-mir-7-2	0	0	0
ADARB1	hsa-mir-7-3	0	0	0
ADARB1	hsa-mir-9-1	0	0	0
ADARB1	hsa-mir-9-2	0	0	0
ADARB1	hsa-mir-9-3	8.87096774193548	4.04411764705882	6.45754269449715
ADARB1	hsa-mir-92a-1	0	0	0
ADARB1	hsa-mir-92a-2	0	0	0
ADARB1	hsa-mir-93	0	0	0
ADARB1	hsa-mir-98	4.83870967741935	0.735294117647059	2.78700189753321
APOBEC3B	hsa-let-7a-1	3.03030303030303	1.07398568019093	2.05214435524698
APOBEC3B	hsa-let-7a-2	5.38720538720539	1.84119677790564	3.61420108255551
APOBEC3B	hsa-let-7a-3	4.04040404040404	0.886262924667651	2.46333348253585
APOBEC3B	hsa-let-7b	5.38720538720539	1.74291938997821	3.5650623885918
APOBEC3B	hsa-let-7c	4.71380471380471	1.51187904967603	3.11284188174037
APOBEC3B	hsa-let-7d	3.03030303030303	0.977198697068404	2.00375086368572
APOBEC3B	hsa-let-7e	1.01010101010101	0.445103857566766	0.727602433833888
APOBEC3B	hsa-let-7f-1	2.02020202020202	0.804289544235925	1.41224578221897
APOBEC3B	hsa-let-7f-2	1.68350168350168	0.611246943765281	1.14737431363348
APOBEC3B	hsa-let-7g	5.05050505050505	1.3077593722755	3.17913221139028
APOBEC3B	hsa-let-7i	1.68350168350168	0.520291363163372	1.10189652333253
