RBP	miRNA	sum_RBP_per_total	sum_miRNA_per_total	average
ADARB1	hsa-let-7a-1	15.1515151515152	1.29198966408269	8.22175240779892
ADARB1	hsa-let-7a-2	0	0	0
ADARB1	hsa-let-7a-3	9.09090909090909	0.815217391304348	4.95306324110672
ADARB1	hsa-let-7b	0	0	0
ADARB1	hsa-let-7c	0	0	0
ADARB1	hsa-let-7d	0	0	0
ADARB1	hsa-let-7e	0	0	0
ADARB1	hsa-let-7f-1	0	0	0
ADARB1	hsa-let-7f-2	15.1515151515152	1.24378109452736	8.19764812302126
ADARB1	hsa-let-7g	0	0	0
ADARB1	hsa-let-7i	0	0	0
ADARB1	hsa-mir-1-1	0	0	0
ADARB1	hsa-mir-1-2	0	0	0
ADARB1	hsa-mir-106a	0	0	0
ADARB1	hsa-mir-106b	0	0	0
ADARB1	hsa-mir-107	0	0	0
ADARB1	hsa-mir-10b	0	0	0
ADARB1	hsa-mir-122	0	0	0
ADARB1	hsa-mir-128-1	0	0	0
ADARB1	hsa-mir-128-2	0	0	0
ADARB1	hsa-mir-138-1	0	0	0
ADARB1	hsa-mir-138-2	0	0	0
ADARB1	hsa-mir-140	0	0	0
ADARB1	hsa-mir-141	9.09090909090909	0.675675675675676	4.88329238329238
ADARB1	hsa-mir-143	0	0	0
ADARB1	hsa-mir-145	21.2121212121212	1.87667560321716	11.5443984076692
ADARB1	hsa-mir-155	0	0	0
ADARB1	hsa-mir-15a	0	0	0
ADARB1	hsa-mir-15b	0	0	0
ADARB1	hsa-mir-16-1	0	0	0
ADARB1	hsa-mir-16-2	0	0	0
ADARB1	hsa-mir-17	0	0	0
ADARB1	hsa-mir-18a	0	0	0
ADARB1	hsa-mir-18b	0	0	0
ADARB1	hsa-mir-199a-1	0	0	0
ADARB1	hsa-mir-199a-2	0	0	0
ADARB1	hsa-mir-19a	0	0	0
ADARB1	hsa-mir-19b-1	0	0	0
ADARB1	hsa-mir-19b-2	0	0	0
ADARB1	hsa-mir-200a	9.09090909090909	1.13207547169811	5.1114922813036
ADARB1	hsa-mir-200b	0	0	0
ADARB1	hsa-mir-200c	0	0	0
ADARB1	hsa-mir-205	0	0	0
ADARB1	hsa-mir-206	0	0	0
ADARB1	hsa-mir-20a	0	0	0
ADARB1	hsa-mir-20b	0	0	0
ADARB1	hsa-mir-21	0	0	0
ADARB1	hsa-mir-214	0	0	0
ADARB1	hsa-mir-221	0	0	0
ADARB1	hsa-mir-222	0	0	0
ADARB1	hsa-mir-25	0	0	0
ADARB1	hsa-mir-29a	0	0	0
ADARB1	hsa-mir-29b-1	0	0	0
ADARB1	hsa-mir-29b-2	0	0	0
ADARB1	hsa-mir-29c	0	0	0
ADARB1	hsa-mir-31	0	0	0
ADARB1	hsa-mir-34a	0	0	0
ADARB1	hsa-mir-34b	0	0	0
ADARB1	hsa-mir-34c	0	0	0
ADARB1	hsa-mir-363	0	0	0
ADARB1	hsa-mir-429	0	0	0
ADARB1	hsa-mir-451	0	0	0
ADARB1	hsa-mir-7-1	0	0	0
ADARB1	hsa-mir-7-2	0	0	0
ADARB1	hsa-mir-7-3	0	0	0
ADARB1	hsa-mir-9-1	0	0	0
ADARB1	hsa-mir-9-2	0	0	0
ADARB1	hsa-mir-9-3	12.1212121212121	3.27868852459016	7.69995032290114
