RBP	miRNA	sum_RBP_per_total	sum_miRNA_per_total	average
ATXN2	hsa-let-7a-1	0	0	0
ATXN2	hsa-let-7a-2	0	0	0
ATXN2	hsa-let-7a-3	0	0	0
ATXN2	hsa-let-7b	0	0	0
ATXN2	hsa-let-7c	0	0	0
ATXN2	hsa-let-7d	0	0	0
ATXN2	hsa-let-7e	0	0	0
ATXN2	hsa-let-7f-1	0	0	0
ATXN2	hsa-let-7f-2	0	0	0
ATXN2	hsa-let-7g	0	0	0
ATXN2	hsa-let-7i	0	0	0
ATXN2	hsa-mir-1-1	0	0	0
ATXN2	hsa-mir-1-2	0	NA	NA
ATXN2	hsa-mir-106a	0	0	0
ATXN2	hsa-mir-106b	0	0	0
ATXN2	hsa-mir-107	0	0	0
ATXN2	hsa-mir-10b	0	0	0
ATXN2	hsa-mir-122	0	0	0
ATXN2	hsa-mir-128-1	0	0	0
ATXN2	hsa-mir-128-2	0	0	0
ATXN2	hsa-mir-138-1	0	NA	NA
ATXN2	hsa-mir-138-2	0	0	0
ATXN2	hsa-mir-140	0	NA	NA
ATXN2	hsa-mir-141	0	0	0
ATXN2	hsa-mir-143	0	0	0
ATXN2	hsa-mir-145	0	0	0
ATXN2	hsa-mir-155	0	0	0
ATXN2	hsa-mir-15a	0	0	0
ATXN2	hsa-mir-15b	0	0	0
ATXN2	hsa-mir-16-1	0	0	0
ATXN2	hsa-mir-16-2	0	0	0
ATXN2	hsa-mir-17	0	0	0
ATXN2	hsa-mir-18a	0	0	0
ATXN2	hsa-mir-18b	0	0	0
ATXN2	hsa-mir-199a-1	0	0	0
ATXN2	hsa-mir-199a-2	0	0	0
ATXN2	hsa-mir-19a	0	0	0
ATXN2	hsa-mir-19b-1	0	0	0
ATXN2	hsa-mir-19b-2	0	0	0
ATXN2	hsa-mir-200a	0	0	0
ATXN2	hsa-mir-200b	0	0	0
ATXN2	hsa-mir-200c	0	0	0
ATXN2	hsa-mir-205	0	0	0
ATXN2	hsa-mir-206	0	0	0
ATXN2	hsa-mir-20a	0	0	0
ATXN2	hsa-mir-20b	0	0	0
ATXN2	hsa-mir-21	0	0	0
ATXN2	hsa-mir-214	0	0	0
ATXN2	hsa-mir-221	0	0	0
ATXN2	hsa-mir-222	0	0	0
ATXN2	hsa-mir-25	0	0	0
ATXN2	hsa-mir-29a	0	0	0
ATXN2	hsa-mir-29b-1	0	0	0
ATXN2	hsa-mir-29b-2	0	0	0
ATXN2	hsa-mir-29c	0	0	0
ATXN2	hsa-mir-31	0	0	0
ATXN2	hsa-mir-34a	0	0	0
ATXN2	hsa-mir-34b	0	0	0
ATXN2	hsa-mir-34c	0	0	0
ATXN2	hsa-mir-363	0	0	0
ATXN2	hsa-mir-429	0	0	0
ATXN2	hsa-mir-451	0	0	0
ATXN2	hsa-mir-7-1	100	0.925925925925926	50.462962962963
ATXN2	hsa-mir-7-2	0	0	0
ATXN2	hsa-mir-7-3	0	0	0
ATXN2	hsa-mir-9-1	0	0	0
ATXN2	hsa-mir-9-2	0	0	0
ATXN2	hsa-mir-9-3	0	0	0
ATXN2	hsa-mir-92a-1	0	0	0
ATXN2	hsa-mir-92a-2	0	0	0
ATXN2	hsa-mir-93	0	0	0
ATXN2	hsa-mir-98	0	0	0
ATXN2L	hsa-let-7a-1	1.28205128205128	0.447427293064877	0.864739287558079
ATXN2L	hsa-let-7a-2	0	0	0
ATXN2L	hsa-let-7a-3	3.2051282051282	0.736377025036819	1.97075261508251
ATXN2L	hsa-let-7b	0	0	0
ATXN2L	hsa-let-7c	0	0	0
ATXN2L	hsa-let-7d	2.56410256410256	0.732600732600733	1.64835164835165
ATXN2L	hsa-let-7e	3.84615384615385	2.23880597014925	3.04247990815155
ATXN2L	hsa-let-7f-1	6.41025641025641	2.93255131964809	4.67140386495225
ATXN2L	hsa-let-7f-2	1.28205128205128	0.404040404040404	0.843045843045843
ATXN2L	hsa-let-7g	5.12820512820513	1.00755667506297	3.06788090163405
ATXN2L	hsa-let-7i	4.48717948717949	1.59453302961276	3.04085625839612
ATXN2L	hsa-mir-1-1	1.28205128205128	6.89655172413793	4.08930150309461
ATXN2L	hsa-mir-1-2	0	NA	NA
ATXN2L	hsa-mir-106a	0	0	0
ATXN2L	hsa-mir-106b	0	0	0
ATXN2L	hsa-mir-107	0	0	0
ATXN2L	hsa-mir-10b	0	0	0
ATXN2L	hsa-mir-122	0	0	0
ATXN2L	hsa-mir-128-1	17.3076923076923	8.38509316770186	12.8463927376971
ATXN2L	hsa-mir-128-2	1.92307692307692	0.528169014084507	1.22562296858072
ATXN2L	hsa-mir-138-1	0	NA	NA
ATXN2L	hsa-mir-138-2	0	0	0
ATXN2L	hsa-mir-140	0	NA	NA
ATXN2L	hsa-mir-141	0	0	0
ATXN2L	hsa-mir-143	0	0	0
ATXN2L	hsa-mir-145	0	0	0
ATXN2L	hsa-mir-155	0	0	0
ATXN2L	hsa-mir-15a	0	0	0
ATXN2L	hsa-mir-15b	0	0	0
ATXN2L	hsa-mir-16-1	0	0	0
ATXN2L	hsa-mir-16-2	0	0	0
ATXN2L	hsa-mir-17	0	0	0
ATXN2L	hsa-mir-18a	0	0	0
ATXN2L	hsa-mir-18b	0	0	0
ATXN2L	hsa-mir-199a-1	0	0	0
ATXN2L	hsa-mir-199a-2	0	0	0
ATXN2L	hsa-mir-19a	0	0	0
ATXN2L	hsa-mir-19b-1	0	0	0
ATXN2L	hsa-mir-19b-2	0	0	0
ATXN2L	hsa-mir-200a	0	0	0
ATXN2L	hsa-mir-200b	0	0	0
ATXN2L	hsa-mir-200c	4.48717948717949	6.42201834862385	5.45459891790167
ATXN2L	hsa-mir-205	0	0	0
ATXN2L	hsa-mir-206	0	0	0
ATXN2L	hsa-mir-20a	0	0	0
ATXN2L	hsa-mir-20b	0	0	0
ATXN2L	hsa-mir-21	0	0	0
ATXN2L	hsa-mir-214	1.92307692307692	2.4390243902439	2.18105065666041
ATXN2L	hsa-mir-221	0	0	0
ATXN2L	hsa-mir-222	0	0	0
ATXN2L	hsa-mir-25	4.48717948717949	2.52707581227437	3.50712764972693
ATXN2L	hsa-mir-29a	0	0	0
ATXN2L	hsa-mir-29b-1	0	0	0
ATXN2L	hsa-mir-29b-2	0	0	0
ATXN2L	hsa-mir-29c	0	0	0
ATXN2L	hsa-mir-31	0	0	0
ATXN2L	hsa-mir-34a	3.2051282051282	1.73611111111111	2.47061965811966
ATXN2L	hsa-mir-34b	0	0	0
ATXN2L	hsa-mir-34c	0	0	0
ATXN2L	hsa-mir-363	1.92307692307692	1.00671140939597	1.46489416623645
ATXN2L	hsa-mir-429	0	0	0
ATXN2L	hsa-mir-451	0	0	0
ATXN2L	hsa-mir-7-1	26.2820512820513	18.9814814814815	22.6317663817664
ATXN2L	hsa-mir-7-2	5.12820512820513	11.2676056338028	8.19790538100397
ATXN2L	hsa-mir-7-3	1.92307692307692	23.0769230769231	12.5
ATXN2L	hsa-mir-9-1	0	0	0
ATXN2L	hsa-mir-9-2	0	0	0
ATXN2L	hsa-mir-9-3	0	0	0
ATXN2L	hsa-mir-92a-1	0	0	0
ATXN2L	hsa-mir-92a-2	0	0	0
ATXN2L	hsa-mir-93	0	0	0
ATXN2L	hsa-mir-98	1.92307692307692	0.603621730382294	1.26334932672961
C1QBP	hsa-let-7a-1	7.40740740740741	0.447427293064877	3.92741735023614
C1QBP	hsa-let-7a-2	7.40740740740741	0.453514739229025	3.93046107331822
C1QBP	hsa-let-7a-3	14.8148148148148	0.589101620029455	7.70195821742213
C1QBP	hsa-let-7b	0	0	0
C1QBP	hsa-let-7c	11.1111111111111	0.545454545454546	5.82828282828283
C1QBP	hsa-let-7d	0	0	0
C1QBP	hsa-let-7e	0	0	0
C1QBP	hsa-let-7f-1	0	0	0
C1QBP	hsa-let-7f-2	0	0	0
C1QBP	hsa-let-7g	0	0	0
C1QBP	hsa-let-7i	0	0	0
C1QBP	hsa-mir-1-1	0	0	0
C1QBP	hsa-mir-1-2	0	NA	NA
C1QBP	hsa-mir-106a	0	0	0
C1QBP	hsa-mir-106b	0	0	0
C1QBP	hsa-mir-107	0	0	0
C1QBP	hsa-mir-10b	0	0	0
C1QBP	hsa-mir-122	0	0	0
C1QBP	hsa-mir-128-1	0	0	0
C1QBP	hsa-mir-128-2	0	0	0
C1QBP	hsa-mir-138-1	0	NA	NA
C1QBP	hsa-mir-138-2	0	0	0
C1QBP	hsa-mir-140	0	NA	NA
C1QBP	hsa-mir-141	0	0	0
C1QBP	hsa-mir-143	0	0	0
C1QBP	hsa-mir-145	0	0	0
C1QBP	hsa-mir-155	0	0	0
C1QBP	hsa-mir-15a	0	0	0
C1QBP	hsa-mir-15b	0	0	0
C1QBP	hsa-mir-16-1	0	0	0
C1QBP	hsa-mir-16-2	0	0	0
C1QBP	hsa-mir-17	0	0	0
C1QBP	hsa-mir-18a	0	0	0
C1QBP	hsa-mir-18b	11.1111111111111	0.914634146341463	6.01287262872629
C1QBP	hsa-mir-199a-1	0	0	0
C1QBP	hsa-mir-199a-2	0	0	0
C1QBP	hsa-mir-19a	7.40740740740741	1.16279069767442	4.28509905254091
C1QBP	hsa-mir-19b-1	0	0	0
C1QBP	hsa-mir-19b-2	0	0	0
C1QBP	hsa-mir-200a	0	0	0
C1QBP	hsa-mir-200b	0	0	0
C1QBP	hsa-mir-200c	0	0	0
C1QBP	hsa-mir-205	0	0	0
C1QBP	hsa-mir-206	0	0	0
C1QBP	hsa-mir-20a	0	0	0
C1QBP	hsa-mir-20b	0	0	0
C1QBP	hsa-mir-21	0	0	0
C1QBP	hsa-mir-214	0	0	0
C1QBP	hsa-mir-221	0	0	0
C1QBP	hsa-mir-222	0	0	0
C1QBP	hsa-mir-25	0	0	0
C1QBP	hsa-mir-29a	0	0	0
C1QBP	hsa-mir-29b-1	0	0	0
C1QBP	hsa-mir-29b-2	25.9259259259259	4.09356725146199	15.009746588694
C1QBP	hsa-mir-29c	0	0	0
C1QBP	hsa-mir-31	0	0	0
C1QBP	hsa-mir-34a	0	0	0
C1QBP	hsa-mir-34b	7.40740740740741	0.952380952380952	4.17989417989418
C1QBP	hsa-mir-34c	0	0	0
C1QBP	hsa-mir-363	0	0	0
C1QBP	hsa-mir-429	0	0	0
C1QBP	hsa-mir-451	0	0	0
C1QBP	hsa-mir-7-1	0	0	0
C1QBP	hsa-mir-7-2	0	0	0
C1QBP	hsa-mir-7-3	0	0	0
C1QBP	hsa-mir-9-1	0	0	0
C1QBP	hsa-mir-9-2	7.40740740740741	0.634920634920635	4.02116402116402
C1QBP	hsa-mir-9-3	0	0	0
C1QBP	hsa-mir-92a-1	0	0	0
C1QBP	hsa-mir-92a-2	0	0	0
C1QBP	hsa-mir-93	0	0	0
C1QBP	hsa-mir-98	0	0	0
CASC3	hsa-let-7a-1	0	0	0
CASC3	hsa-let-7a-2	0	0	0
CASC3	hsa-let-7a-3	0	0	0
CASC3	hsa-let-7b	0	0	0
CASC3	hsa-let-7c	0	0	0
CASC3	hsa-let-7d	0	0	0
CASC3	hsa-let-7e	0	0	0
CASC3	hsa-let-7f-1	0	0	0
CASC3	hsa-let-7f-2	0	0	0
CASC3	hsa-let-7g	0	0	0
CASC3	hsa-let-7i	0	0	0
CASC3	hsa-mir-1-1	0	0	0
CASC3	hsa-mir-1-2	0	NA	NA
CASC3	hsa-mir-106a	0	0	0
CASC3	hsa-mir-106b	0	0	0
CASC3	hsa-mir-107	0	0	0
CASC3	hsa-mir-10b	0	0	0
CASC3	hsa-mir-122	0	0	0
CASC3	hsa-mir-128-1	100	0.62111801242236	50.3105590062112
CASC3	hsa-mir-128-2	0	0	0
CASC3	hsa-mir-138-1	0	NA	NA
CASC3	hsa-mir-138-2	0	0	0
CASC3	hsa-mir-140	0	NA	NA
CASC3	hsa-mir-141	0	0	0
CASC3	hsa-mir-143	0	0	0
CASC3	hsa-mir-145	0	0	0
CASC3	hsa-mir-155	0	0	0
CASC3	hsa-mir-15a	0	0	0
CASC3	hsa-mir-15b	0	0	0
CASC3	hsa-mir-16-1	0	0	0
CASC3	hsa-mir-16-2	0	0	0
CASC3	hsa-mir-17	0	0	0
CASC3	hsa-mir-18a	0	0	0
CASC3	hsa-mir-18b	0	0	0
CASC3	hsa-mir-199a-1	0	0	0
CASC3	hsa-mir-199a-2	0	0	0
CASC3	hsa-mir-19a	0	0	0
CASC3	hsa-mir-19b-1	0	0	0
CASC3	hsa-mir-19b-2	0	0	0
CASC3	hsa-mir-200a	0	0	0
CASC3	hsa-mir-200b	0	0	0
CASC3	hsa-mir-200c	0	0	0
CASC3	hsa-mir-205	0	0	0
CASC3	hsa-mir-206	0	0	0
CASC3	hsa-mir-20a	0	0	0
CASC3	hsa-mir-20b	0	0	0
CASC3	hsa-mir-21	0	0	0
CASC3	hsa-mir-214	0	0	0
CASC3	hsa-mir-221	0	0	0
CASC3	hsa-mir-222	0	0	0
CASC3	hsa-mir-25	0	0	0
CASC3	hsa-mir-29a	0	0	0
CASC3	hsa-mir-29b-1	0	0	0
CASC3	hsa-mir-29b-2	0	0	0
CASC3	hsa-mir-29c	0	0	0
CASC3	hsa-mir-31	0	0	0
CASC3	hsa-mir-34a	0	0	0
CASC3	hsa-mir-34b	0	0	0
CASC3	hsa-mir-34c	0	0	0
