RBP	miRNA	sum_RBP_per_total	sum_miRNA_per_total	average
ADARB1	hsa-let-7a-1	9.67741935483871	2.42587601078167	6.05164768281019
ADARB1	hsa-let-7a-2	0	0	0
ADARB1	hsa-let-7a-3	6.45161290322581	1.9047619047619	4.17818740399386
ADARB1	hsa-let-7b	4.3010752688172	2.22222222222222	3.26164874551971
ADARB1	hsa-let-7c	0	0	0
ADARB1	hsa-let-7d	0	0	0
ADARB1	hsa-let-7e	0	0	0
ADARB1	hsa-let-7f-1	5.37634408602151	1.3550135501355	3.3656788180785
ADARB1	hsa-let-7f-2	10.752688172043	4.03225806451613	7.39247311827957
ADARB1	hsa-let-7g	0	0	0
ADARB1	hsa-let-7i	0	0	0
ADARB1	hsa-mir-1-1	0	0	0
ADARB1	hsa-mir-1-2	0	0	0
ADARB1	hsa-mir-106a	0	0	0
ADARB1	hsa-mir-106b	0	0	0
ADARB1	hsa-mir-107	0	0	0
ADARB1	hsa-mir-10b	0	0	0
ADARB1	hsa-mir-122	0	0	0
ADARB1	hsa-mir-128-1	0	0	0
ADARB1	hsa-mir-128-2	0	0	0
ADARB1	hsa-mir-138-1	3.2258064516129	4.28571428571429	3.75576036866359
ADARB1	hsa-mir-138-2	0	0	0
ADARB1	hsa-mir-140	3.2258064516129	1.5625	2.39415322580645
ADARB1	hsa-mir-141	8.60215053763441	3.27868852459016	5.94041953111229
ADARB1	hsa-mir-143	0	0	0
ADARB1	hsa-mir-145	4.3010752688172	2.91970802919708	3.61039164900714
ADARB1	hsa-mir-155	2.1505376344086	1.09289617486339	1.621716904636
ADARB1	hsa-mir-15a	0	0	0
ADARB1	hsa-mir-15b	3.2258064516129	0.69284064665127	1.95932354913209
ADARB1	hsa-mir-16-1	0	0	0
ADARB1	hsa-mir-16-2	3.2258064516129	1.25523012552301	2.24051828856796
ADARB1	hsa-mir-17	0	0	0
ADARB1	hsa-mir-18a	0	0	0
ADARB1	hsa-mir-18b	0	0	0
ADARB1	hsa-mir-199a-1	0	0	0
ADARB1	hsa-mir-199a-2	0	0	0
ADARB1	hsa-mir-19a	0	0	0
ADARB1	hsa-mir-19b-1	0	0	0
