RBP	miRNA	sum_RBP_per_total	sum_miRNA_per_total	average
ADARB1	hsa-let-7a-1	29.8507462686567	3.45423143350604	16.6524888510814
ADARB1	hsa-let-7a-2	0	0	0
ADARB1	hsa-let-7a-3	20.8955223880597	2.01729106628242	11.4564067271711
ADARB1	hsa-let-7b	0	0	0
ADARB1	hsa-let-7c	0	0	0
ADARB1	hsa-let-7d	0	0	0
ADARB1	hsa-let-7e	0	0	0
ADARB1	hsa-let-7f-1	5.97014925373134	1.01522842639594	3.49268884006364
ADARB1	hsa-let-7f-2	19.4029850746269	3.03738317757009	11.2201841260985
ADARB1	hsa-let-7g	0	0	0
ADARB1	hsa-let-7i	0	0	0
ADARB1	hsa-mir-1-1	0	0	0
ADARB1	hsa-mir-1-2	0	0	0
ADARB1	hsa-mir-106a	0	0	0
ADARB1	hsa-mir-106b	0	0	0
ADARB1	hsa-mir-107	0	0	0
ADARB1	hsa-mir-10b	0	0	0
ADARB1	hsa-mir-122	0	0	0
ADARB1	hsa-mir-128-1	0	0	0
ADARB1	hsa-mir-128-2	0	0	0
ADARB1	hsa-mir-138-1	4.47761194029851	1.03448275862069	2.7560473494596
ADARB1	hsa-mir-138-2	0	0	0
ADARB1	hsa-mir-140	0	0	0
ADARB1	hsa-mir-141	2.98507462686567	0.66006600660066	1.82257031673317
ADARB1	hsa-mir-143	0	0	0
ADARB1	hsa-mir-145	2.98507462686567	0.72463768115942	1.85485615401255
ADARB1	hsa-mir-155	4.47761194029851	0.810810810810811	2.64421137555466
ADARB1	hsa-mir-15a	0	0	0
ADARB1	hsa-mir-15b	0	0	0
ADARB1	hsa-mir-16-1	0	0	0
ADARB1	hsa-mir-16-2	0	0	0
ADARB1	hsa-mir-17	0	0	0
ADARB1	hsa-mir-18a	0	0	0
ADARB1	hsa-mir-18b	0	0	0
ADARB1	hsa-mir-199a-1	0	0	0
ADARB1	hsa-mir-199a-2	0	0	0
ADARB1	hsa-mir-19a	0	0	0
ADARB1	hsa-mir-19b-1	0	0	0
ADARB1	hsa-mir-19b-2	0	0	0
ADARB1	hsa-mir-200a	0	0	0
ADARB1	hsa-mir-200b	0	0	0
ADARB1	hsa-mir-200c	0	0	0
ADARB1	hsa-mir-205	0	0	0
ADARB1	hsa-mir-206	0	0	0
ADARB1	hsa-mir-20a	0	0	0
ADARB1	hsa-mir-20b	0	0	0
ADARB1	hsa-mir-21	0	0	0
ADARB1	hsa-mir-214	0	0	0
ADARB1	hsa-mir-221	0	0	0
ADARB1	hsa-mir-222	0	0	0
ADARB1	hsa-mir-25	0	0	0
ADARB1	hsa-mir-29a	0	0	0
ADARB1	hsa-mir-29b-1	0	0	0
ADARB1	hsa-mir-29b-2	0	0	0
ADARB1	hsa-mir-29c	0	0	0
ADARB1	hsa-mir-31	0	0	0
ADARB1	hsa-mir-34a	0	0	0
ADARB1	hsa-mir-34b	0	0	0
ADARB1	hsa-mir-34c	0	0	0
ADARB1	hsa-mir-363	0	0	0
ADARB1	hsa-mir-429	0	0	0
ADARB1	hsa-mir-451	0	0	0
ADARB1	hsa-mir-7-1	0	0	0
ADARB1	hsa-mir-7-2	0	0	0
ADARB1	hsa-mir-7-3	0	0	0
ADARB1	hsa-mir-9-1	0	0	0
ADARB1	hsa-mir-9-2	0	0	0
ADARB1	hsa-mir-9-3	0	0	0
ADARB1	hsa-mir-92a-1	0	0	0
ADARB1	hsa-mir-92a-2	0	0	0
ADARB1	hsa-mir-93	0	0	0
ADARB1	hsa-mir-98	8.95522388059701	1.06007067137809	5.00764727598755
AQR	hsa-let-7a-1	0	0	0
AQR	hsa-let-7a-2	8	0.292825768667643	4.14641288433382
AQR	hsa-let-7a-3	0	0	0
AQR	hsa-let-7b	0	0	0
AQR	hsa-let-7c	0	0	0
AQR	hsa-let-7d	0	0	0
AQR	hsa-let-7e	44	2.36051502145923	23.1802575107296
AQR	hsa-let-7f-1	0	0	0
AQR	hsa-let-7f-2	0	0	0
AQR	hsa-let-7g	40	1.98807157057654	20.9940357852883
AQR	hsa-let-7i	0	0	0
AQR	hsa-mir-1-1	0	0	0
AQR	hsa-mir-1-2	0	0	0
AQR	hsa-mir-106a	0	0	0
AQR	hsa-mir-106b	0	0	0
AQR	hsa-mir-107	0	0	0
AQR	hsa-mir-10b	0	0	0
AQR	hsa-mir-122	0	0	0
AQR	hsa-mir-128-1	0	0	0
AQR	hsa-mir-128-2	0	0	0
AQR	hsa-mir-138-1	0	0	0
AQR	hsa-mir-138-2	0	0	0
AQR	hsa-mir-140	0	0	0
AQR	hsa-mir-141	0	0	0
AQR	hsa-mir-143	0	0	0
AQR	hsa-mir-145	0	0	0
AQR	hsa-mir-155	0	0	0
AQR	hsa-mir-15a	0	0	0
AQR	hsa-mir-15b	0	0	0
AQR	hsa-mir-16-1	0	0	0
AQR	hsa-mir-16-2	0	0	0
AQR	hsa-mir-17	0	0	0
AQR	hsa-mir-18a	0	0	0
AQR	hsa-mir-18b	0	0	0
AQR	hsa-mir-199a-1	0	0	0
AQR	hsa-mir-199a-2	8	0.617283950617284	4.30864197530864
AQR	hsa-mir-19a	0	0	0
AQR	hsa-mir-19b-1	0	0	0
AQR	hsa-mir-19b-2	0	0	0
AQR	hsa-mir-200a	0	0	0
AQR	hsa-mir-200b	0	0	0
AQR	hsa-mir-200c	0	0	0
AQR	hsa-mir-205	0	0	0
AQR	hsa-mir-206	0	0	0
AQR	hsa-mir-20a	0	0	0
AQR	hsa-mir-20b	0	0	0
AQR	hsa-mir-21	0	0	0
AQR	hsa-mir-214	0	0	0
AQR	hsa-mir-221	0	0	0
AQR	hsa-mir-222	0	0	0
AQR	hsa-mir-25	0	0	0
AQR	hsa-mir-29a	0	0	0
AQR	hsa-mir-29b-1	0	0	0
AQR	hsa-mir-29b-2	0	0	0
AQR	hsa-mir-29c	0	0	0
AQR	hsa-mir-31	0	0	0
AQR	hsa-mir-34a	0	0	0
AQR	hsa-mir-34b	0	0	0
AQR	hsa-mir-34c	0	0	0
AQR	hsa-mir-363	0	0	0
AQR	hsa-mir-429	0	0	0
AQR	hsa-mir-451	0	0	0
AQR	hsa-mir-7-1	0	0	0
AQR	hsa-mir-7-2	0	0	0
AQR	hsa-mir-7-3	0	0	0
AQR	hsa-mir-9-1	0	0	0
AQR	hsa-mir-9-2	0	0	0
AQR	hsa-mir-9-3	0	0	0
AQR	hsa-mir-92a-1	0	0	0
AQR	hsa-mir-92a-2	0	0	0
AQR	hsa-mir-93	0	0	0
AQR	hsa-mir-98	0	0	0
C1QBP	hsa-let-7a-1	0	0	0
C1QBP	hsa-let-7a-2	0	0	0
C1QBP	hsa-let-7a-3	0	0	0
C1QBP	hsa-let-7b	0	0	0
C1QBP	hsa-let-7c	0	0	0
C1QBP	hsa-let-7d	8.82352941176471	0.425531914893617	4.62453066332916
C1QBP	hsa-let-7e	0	0	0
C1QBP	hsa-let-7f-1	0	0	0
C1QBP	hsa-let-7f-2	0	0	0
C1QBP	hsa-let-7g	0	0	0
C1QBP	hsa-let-7i	0	0	0
C1QBP	hsa-mir-1-1	0	0	0
C1QBP	hsa-mir-1-2	0	0	0
C1QBP	hsa-mir-106a	0	0	0
C1QBP	hsa-mir-106b	0	0	0
C1QBP	hsa-mir-107	0	0	0
C1QBP	hsa-mir-10b	0	0	0
C1QBP	hsa-mir-122	0	0	0
C1QBP	hsa-mir-128-1	0	0	0
C1QBP	hsa-mir-128-2	0	0	0
C1QBP	hsa-mir-138-1	0	0	0
C1QBP	hsa-mir-138-2	11.7647058823529	0.695652173913043	6.23017902813299
C1QBP	hsa-mir-140	0	0	0
C1QBP	hsa-mir-141	0	0	0
C1QBP	hsa-mir-143	0	0	0
C1QBP	hsa-mir-145	8.82352941176471	1.08695652173913	4.95524296675192
C1QBP	hsa-mir-155	8.82352941176471	0.810810810810811	4.81717011128776
C1QBP	hsa-mir-15a	0	0	0
C1QBP	hsa-mir-15b	0	0	0
C1QBP	hsa-mir-16-1	0	0	0
C1QBP	hsa-mir-16-2	8.82352941176471	1.37614678899083	5.09983810037777
C1QBP	hsa-mir-17	0	0	0
C1QBP	hsa-mir-18a	5.88235294117647	0.719424460431655	3.30088870080406
C1QBP	hsa-mir-18b	8.82352941176471	0.69284064665127	4.75818502920799
C1QBP	hsa-mir-199a-1	8.82352941176471	0.75	4.78676470588235
C1QBP	hsa-mir-199a-2	0	0	0
C1QBP	hsa-mir-19a	0	0	0
C1QBP	hsa-mir-19b-1	0	0	0
C1QBP	hsa-mir-19b-2	0	0	0
C1QBP	hsa-mir-200a	0	0	0
C1QBP	hsa-mir-200b	0	0	0
C1QBP	hsa-mir-200c	0	0	0
C1QBP	hsa-mir-205	0	0	0
C1QBP	hsa-mir-206	0	0	0
C1QBP	hsa-mir-20a	0	0	0
C1QBP	hsa-mir-20b	0	0	0
C1QBP	hsa-mir-21	0	0	0
C1QBP	hsa-mir-214	0	0	0
C1QBP	hsa-mir-221	8.82352941176471	1.0989010989011	4.9612152553329
C1QBP	hsa-mir-222	0	0	0
C1QBP	hsa-mir-25	0	0	0
C1QBP	hsa-mir-29a	5.88235294117647	1.11111111111111	3.49673202614379
C1QBP	hsa-mir-29b-1	0	0	0
C1QBP	hsa-mir-29b-2	14.7058823529412	1.36239782016349	8.03414008655233
C1QBP	hsa-mir-29c	0	0	0
C1QBP	hsa-mir-31	0	0	0
C1QBP	hsa-mir-34a	0	0	0
C1QBP	hsa-mir-34b	0	0	0
C1QBP	hsa-mir-34c	0	0	0
C1QBP	hsa-mir-363	0	0	0
C1QBP	hsa-mir-429	0	0	0
C1QBP	hsa-mir-451	0	0	0
C1QBP	hsa-mir-7-1	0	0	0
C1QBP	hsa-mir-7-2	0	0	0
C1QBP	hsa-mir-7-3	0	0	0
C1QBP	hsa-mir-9-1	0	0	0
C1QBP	hsa-mir-9-2	0	0	0
C1QBP	hsa-mir-9-3	0	0	0
C1QBP	hsa-mir-92a-1	0	0	0
C1QBP	hsa-mir-92a-2	0	0	0
C1QBP	hsa-mir-93	0	0	0
C1QBP	hsa-mir-98	0	0	0
C9ORF114	hsa-let-7a-1	0	0	0
C9ORF114	hsa-let-7a-2	0	0	0
C9ORF114	hsa-let-7a-3	0	0	0
C9ORF114	hsa-let-7b	0	0	0
C9ORF114	hsa-let-7c	0	0	0
C9ORF114	hsa-let-7d	0	0	0
C9ORF114	hsa-let-7e	0	0	0
C9ORF114	hsa-let-7f-1	0	0	0
C9ORF114	hsa-let-7f-2	0	0	0
C9ORF114	hsa-let-7g	0	0	0
C9ORF114	hsa-let-7i	0	0	0
C9ORF114	hsa-mir-1-1	0	0	0
C9ORF114	hsa-mir-1-2	0	0	0
C9ORF114	hsa-mir-106a	0	0	0
C9ORF114	hsa-mir-106b	0	0	0
C9ORF114	hsa-mir-107	0	0	0
C9ORF114	hsa-mir-10b	0	0	0
C9ORF114	hsa-mir-122	0	0	0
C9ORF114	hsa-mir-128-1	0	0	0
C9ORF114	hsa-mir-128-2	0	0	0
C9ORF114	hsa-mir-138-1	0	0	0
C9ORF114	hsa-mir-138-2	0	0	0
C9ORF114	hsa-mir-140	0	0	0
C9ORF114	hsa-mir-141	0	0	0
C9ORF114	hsa-mir-143	0	0	0
C9ORF114	hsa-mir-145	50	1.08695652173913	25.5434782608696
C9ORF114	hsa-mir-155	0	0	0
C9ORF114	hsa-mir-15a	0	0	0
C9ORF114	hsa-mir-15b	0	0	0
C9ORF114	hsa-mir-16-1	0	0	0
C9ORF114	hsa-mir-16-2	0	0	0
C9ORF114	hsa-mir-17	0	0	0
C9ORF114	hsa-mir-18a	0	0	0
C9ORF114	hsa-mir-18b	0	0	0
C9ORF114	hsa-mir-199a-1	0	0	0
C9ORF114	hsa-mir-199a-2	0	0	0
C9ORF114	hsa-mir-19a	0	0	0
C9ORF114	hsa-mir-19b-1	0	0	0
C9ORF114	hsa-mir-19b-2	0	0	0
C9ORF114	hsa-mir-200a	0	0	0
C9ORF114	hsa-mir-200b	0	0	0
C9ORF114	hsa-mir-200c	0	0	0
C9ORF114	hsa-mir-205	0	0	0
C9ORF114	hsa-mir-206	0	0	0
C9ORF114	hsa-mir-20a	0	0	0
C9ORF114	hsa-mir-20b	0	0	0
C9ORF114	hsa-mir-21	0	0	0
C9ORF114	hsa-mir-214	0	0	0
C9ORF114	hsa-mir-221	0	0	0
C9ORF114	hsa-mir-222	0	0	0
C9ORF114	hsa-mir-25	0	0	0
C9ORF114	hsa-mir-29a	0	0	0
C9ORF114	hsa-mir-29b-1	0	0	0
C9ORF114	hsa-mir-29b-2	0	0	0
C9ORF114	hsa-mir-29c	0	0	0
C9ORF114	hsa-mir-31	0	0	0
C9ORF114	hsa-mir-34a	0	0	0
C9ORF114	hsa-mir-34b	0	0	0
C9ORF114	hsa-mir-34c	0	0	0
C9ORF114	hsa-mir-363	0	0	0
C9ORF114	hsa-mir-429	0	0	0
C9ORF114	hsa-mir-451	0	0	0
C9ORF114	hsa-mir-7-1	50	0.705882352941177	25.3529411764706
C9ORF114	hsa-mir-7-2	0	0	0
C9ORF114	hsa-mir-7-3	0	0	0
C9ORF114	hsa-mir-9-1	0	0	0
C9ORF114	hsa-mir-9-2	0	0	0
C9ORF114	hsa-mir-9-3	0	0	0
C9ORF114	hsa-mir-92a-1	0	0	0
C9ORF114	hsa-mir-92a-2	0	0	0
C9ORF114	hsa-mir-93	0	0	0
C9ORF114	hsa-mir-98	0	0	0
CDC40	hsa-let-7a-1	0	0	0
CDC40	hsa-let-7a-2	23.0769230769231	0.439238653001464	11.7580808649623
CDC40	hsa-let-7a-3	0	0	0
CDC40	hsa-let-7b	0	0	0
CDC40	hsa-let-7c	0	0	0
CDC40	hsa-let-7d	0	0	0
CDC40	hsa-let-7e	38.4615384615385	1.07296137339056	19.7672499174645
CDC40	hsa-let-7f-1	0	0	0
CDC40	hsa-let-7f-2	0	0	0
CDC40	hsa-let-7g	15.3846153846154	0.397614314115308	7.89111484936535
CDC40	hsa-let-7i	0	0	0
CDC40	hsa-mir-1-1	0	0	0
CDC40	hsa-mir-1-2	0	0	0
CDC40	hsa-mir-106a	0	0	0
CDC40	hsa-mir-106b	23.0769230769231	0.887573964497041	11.9822485207101
CDC40	hsa-mir-107	0	0	0
CDC40	hsa-mir-10b	0	0	0
CDC40	hsa-mir-122	0	0	0
CDC40	hsa-mir-128-1	0	0	0
CDC40	hsa-mir-128-2	0	0	0
CDC40	hsa-mir-138-1	0	0	0
CDC40	hsa-mir-138-2	0	0	0
CDC40	hsa-mir-140	0	0	0
CDC40	hsa-mir-141	0	0	0
CDC40	hsa-mir-143	0	0	0
CDC40	hsa-mir-145	0	0	0
CDC40	hsa-mir-155	0	0	0
CDC40	hsa-mir-15a	0	0	0
CDC40	hsa-mir-15b	0	0	0
CDC40	hsa-mir-16-1	0	0	0
CDC40	hsa-mir-16-2	0	0	0
CDC40	hsa-mir-17	0	0	0
CDC40	hsa-mir-18a	0	0	0
CDC40	hsa-mir-18b	0	0	0
CDC40	hsa-mir-199a-1	0	0	0
CDC40	hsa-mir-199a-2	0	0	0
CDC40	hsa-mir-19a	0	0	0
CDC40	hsa-mir-19b-1	0	0	0
CDC40	hsa-mir-19b-2	0	0	0
CDC40	hsa-mir-200a	0	0	0
CDC40	hsa-mir-200b	0	0	0
CDC40	hsa-mir-200c	0	0	0
CDC40	hsa-mir-205	0	0	0
CDC40	hsa-mir-206	0	0	0
CDC40	hsa-mir-20a	0	0	0
CDC40	hsa-mir-20b	0	0	0
CDC40	hsa-mir-21	0	0	0
CDC40	hsa-mir-214	0	0	0
CDC40	hsa-mir-221	0	0	0
CDC40	hsa-mir-222	0	0	0
CDC40	hsa-mir-25	0	0	0
CDC40	hsa-mir-29a	0	0	0
CDC40	hsa-mir-29b-1	0	0	0
CDC40	hsa-mir-29b-2	0	0	0
CDC40	hsa-mir-29c	0	0	0
CDC40	hsa-mir-31	0	0	0
CDC40	hsa-mir-34a	0	0	0
CDC40	hsa-mir-34b	0	0	0
CDC40	hsa-mir-34c	0	0	0
CDC40	hsa-mir-363	0	0	0
CDC40	hsa-mir-429	0	0	0
CDC40	hsa-mir-451	0	0	0
CDC40	hsa-mir-7-1	0	0	0
CDC40	hsa-mir-7-2	0	0	0
CDC40	hsa-mir-7-3	0	0	0
