identification ID,cell line,Identified Protein,gene symbol,Accession Number,Molecular Weight,Protein Grouping Ambiguity,hsa-let-7a-1,hsa-let-7a-2,hsa-let-7a-3,hsa-let-7b,hsa-let-7c,hsa-let-7d,hsa-let-7e,hsa-let-7f-1,hsa-let-7f-2,hsa-let-7g,hsa-let-7i,hsa-mir-98,hsa-mir-1-1,hsa-mir-1-2,hsa-mir-7-1,hsa-mir-7-2,hsa-mir-7-3,hsa-mir-9-1,hsa-mir-9-2,hsa-mir-9-3,hsa-mir-10b,hsa-mir-15a,hsa-mir-15b,hsa-mir-16-1,hsa-mir-16-2,hsa-mir-17,hsa-mir-18a,hsa-mir-18b,hsa-mir-19a,hsa-mir-19b-1,hsa-mir-19b-2,hsa-mir-20a,hsa-mir-20b,hsa-mir-21,hsa-mir-25,hsa-mir-29a,hsa-mir-29b-1,hsa-mir-29b-2,hsa-mir-29c,hsa-mir-31,hsa-mir-34a,hsa-mir-34b,hsa-mir-34c,hsa-mir-92a-1,hsa-mir-92a-2,hsa-mir-93,hsa-mir-106a,hsa-mir-106b,hsa-mir-107,hsa-mir-122,hsa-mir-128-1,hsa-mir-128-2,hsa-mir-138-1,hsa-mir-138-2,hsa-mir-140,hsa-mir-141,hsa-mir-143,hsa-mir-145,hsa-mir-155,hsa-mir-199a-1,hsa-mir-199a-2,hsa-mir-200a,hsa-mir-200b,hsa-mir-200c,hsa-mir-205,hsa-mir-206,hsa-mir-214,hsa-mir-221,hsa-mir-222,hsa-mir-363,hsa-mir-429,hsa-mir-451
T-9,NTERA-2,protein lin-28 homolog A [Homo sapiens],LIN28A,gi|13375938,23 kDa,true,20,31,10,38,30,48,12,35,25,43,46,57,9,4,8,6,12,9,8,,8,11,17,21,9,10,15,21,26,24,8,6,7,12,18,22,25,25,7,13,19,21,6,,18,8,21,15,23,3,11,5,5,3,5,10,12,58,16,4,6,9,8,13,14,15,7,7,8,22,10,9
"H-565,1",HEPG2,protein lin-28 homolog B [Homo sapiens],LIN28B,gi|51972214,27 kDa,true,,12,4,24,15,18,2,20,8,15,6,15,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
"T-426,1",NTERA-2,protein lin-28 homolog B [Homo sapiens],LIN28B,gi|51972214,27 kDa,true,,3,,4,,5,,3,2,3,8,6,,,,,,,,,,,,,,,,,,,,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"N-132,1",SK-N-MC,protein lin-28 homolog B [Homo sapiens],LIN28B,gi|51972214,27 kDa,true,6,18,2,24,21,19,12,25,8,,20,18,2,4,2,2,2,2,3,,3,2,,,,,,,,12,,,,,4,4,4,3,,4,3,3,,,7,2,2,4,3,2,4,,,,,,4,,,,,3,,,4,2,,3,,,9,
"H-1498,1",HEPG2,terminal uridylyltransferase 4 isoform a [Homo sapiens],ZCCHC11,gi|57863248,185 kDa,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T-163,NTERA-2,terminal uridylyltransferase 4 isoform a [Homo sapiens],ZCCHC11,gi|57863248,185 kDa,true,11,27,,,50,5,,20,20,22,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,
"N-525,1",SK-N-MC,terminal uridylyltransferase 4 isoform a [Homo sapiens],ZCCHC11,gi|57863248,185 kDa,true,,14,,,4,,,10,5,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"P-1242,3",DU145,terminal uridylyltransferase 7 isoform 1 [Homo sapiens],ZCCHC6,gi|58331272,171 kDa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,
"H-1389,2",HEPG2,terminal uridylyltransferase 7 isoform 1 [Homo sapiens],ZCCHC6,gi|58331272,171 kDa,,,,,,,6,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T-188,NTERA-2,terminal uridylyltransferase 7 isoform 1 [Homo sapiens],ZCCHC6,gi|58331272,171 kDa,true,15,21,,6,25,21,3,20,15,17,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N-314,SK-N-MC,hypothetical protein [Homo sapiens],ZCCHC6,gi|57999471,171 kDa,true,,31,,,11,2,,18,8,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,
L-142,A549,heterogeneous nuclear ribonucleoprotein L [Homo sapiens],HNRNPL,gi|11527777,64 kDa,true,8,25,,2,2,4,,,3,2,,,,,3,,,2,2,4,4,4,4,2,3,,,3,6,4,,2,,5,4,18,,,3,,4,4,5,,2,,,2,,,7,,,,,,,,,2,,,,,,5,5,,,,,
C-146,DLD-1,heterogeneous nuclear ribonucleoprotein L [Homo sapiens],HNRNPL,gi|11527777,64 kDa,true,24,35,8,,3,5,6,8,3,,5,2,2,6,4,,4,13,4,,2,7,8,,5,5,,,3,3,,,,2,2,11,3,2,3,2,3,13,3,3,5,,2,,3,3,,4,15,,2,3,8,5,7,,4,4,8,7,4,,9,3,3,7,3,6
P-222,DU145,heterogeneous nuclear ribonucleoprotein L [Homo sapiens],HNRNPL,gi|11527777,64 kDa,true,15,32,2,,,2,2,2,2,6,6,,2,5,5,2,,2,2,,3,3,8,,3,4,4,3,,9,9,,6,2,6,3,2,4,12,2,20,16,4,3,3,2,6,8,7,4,5,4,7,,,13,,2,8,,,7,3,2,4,,8,5,9,6,6,6
